Week Number,Topic,Code,Lesson Title,Objective,Content,Type of Activity,Activities
1,Classification: Living and Non-Living Things,3.1.1,Introduction to Classification,Understand what classification is and why it is important.,"- Definition of classification.
- Importance: Organizing things to understand them better.",Class Activity,"- Group objects from the classroom (e.g., books, pencils, plants) and discuss similarities/differences."
2,Classification: Living and Non-Living Things,3.1.1,Characteristics of Living and Non-Living Things,Learn the differences between living and non-living things.,"- Living things: Grow, reproduce, need food, and respond to the environment.
- Non-living things: Do not grow, reproduce, or need food.",Experiment,- Observe a live plant and compare it with a plastic plant. Discuss differences.
3,Classification: Living and Non-Living Things,3.1.1,How to Classify Things,Explore methods of classification.,"- Using observable characteristics (e.g., size, shape, color).",Class Activity,- Sort objects into groups based on size or color.
4,Classification: Living and Non-Living Things,3.1.1,Representing Classification,Learn how to visually represent classification.,- Charts and tables for classification.,Class Activity,"- Create a simple chart classifying items as ""Living"" or ""Non-Living."""
5,Plants,3.1.2,Introduction to Plants,Understand what plants are and where they can be found.,"- Definition of plants and their habitats.
- Examples: Forests, gardens, deserts, water.",Class Activity,- Discuss places students have seen plants and create a list.
6,Plants,3.1.2,How Plants Are Classified,Learn how plants are classified based on characteristics.,"- Classification: Flowering vs. non-flowering, size, and habitat.",Experiment,"- Observe a flowering plant and a fern, noting differences."
7,Plants,3.1.2,Similarities and Differences in Plants,Compare plants to understand similarities and differences.,"- Similarities: All plants make food through photosynthesis.
- Differences: Size, leaf shape, flowers, fruits.",Class Activity,- Match pictures of plants to their characteristics.
8,Plants,3.1.2,Importance of Plants,Explore why plants are important.,"- Provide oxygen, food, habitat, and prevent soil erosion.",Class Activity,- Brainstorm ways plants are used in daily life.
9,Animals,3.1.3,Introduction to Animals,Learn about the different kinds of animals around us.,"- Examples of animals: Mammals, birds, reptiles, amphibians, fish, insects.",Teacher Demonstration,- Show pictures of animals and discuss their characteristics.
10,Animals,3.1.3,How Animals Are Classified,Understand how animals are grouped.,"- Classification based on physical features and behavior (e.g., mammals give birth to live young).",Class Activity,"- Group pictures of animals into mammals, birds, reptiles, etc."
11,Animals,3.1.3,Importance of Animals,Discover the importance of animals to humans and the environment.,"- Provide food, pollinate plants, maintain ecological balance.",Class Activity,- Discuss animals' roles in everyday life and their habitats.
12,,,,,,,
13,,,,,,,
14,Animals,3.1.3,Animals and Their Adaptations,Understand how animals adapt to survive in their environments.,"- Examples: Camouflage, sharp teeth, webbed feet.",Experiment,- Use toys or models to demonstrate how animals blend into their habitats.
15,Fungi and Bacteria,3.1.4,Characteristics of Fungi,Learn about fungi and where they can be found.,"- Fungi: Non-green organisms that grow on decaying matter (e.g., mushrooms, mold).",Experiment,- Observe mold growth on bread kept in moist conditions.
16,Fungi and Bacteria,3.1.4,Characteristics of Bacteria,Explore bacteria and their characteristics.,"- Microscopic organisms found everywhere.
- Harmful bacteria: Cause diseases.
- Helpful bacteria: Aid digestion, make food (e.g., yogurt).",Class Activity,- Discuss examples of helpful and harmful bacteria.
17,Intermediate Test and Consolidation,ASS31,Intermediate Test and Consolidation,Recap all topics and assess understanding of Units 3.1.1 to 3.1.4.,- Review key concepts through a trivia game or group discussion.,Assessment,- Conduct Intermediate Test.
18,Different Types of Materials,3.2,Introduction to Materials,Understand what materials are and identify different types of materials.,"- Definition of materials.
- Types: Wood, metal, plastic, glass, fabric, and rubber.",Class Activity,- Students observe and classify classroom objects based on their materials.
19,Different Types of Materials,3.2,Differences in Materials,Explore how materials differ in properties.,"- Properties: Strength, flexibility, transparency, water resistance.",Experiment,"- Test materials for flexibility using objects (e.g., a plastic ruler, metal spoon, paper)."
20,Different Types of Materials,3.2,Introduction to Fair Testing,Learn what a fair test is and why it is important.,"- Fair test: Only one variable is changed while others are kept constant.
- Example: Testing the strength of materials using equal-sized samples.",Class Activity,"- Discuss scenarios where a test is fair or unfair, and how to ensure fairness."
21,Different Types of Materials,3.2,Testing the Properties of Materials,Conduct fair tests to investigate material properties.,- Focus on testing water resistance and transparency.,Experiment,"- Water resistance: Drop water on fabric, plastic, and paper and observe absorption.
- Transparency: Hold materials (glass, paper, fabric) up to light to observe visibility."
