Week Number,Topic,Code,Lesson Title,Objective,Content,Type of Activity,Activities
1,Life Cycles,4.1.1,Introduction to Life Cycles,Understand what a life cycle is and why it is important.,"- Definition of a life cycle.
- Examples of life cycles in plants and animals.",Class Activity,"- Discuss the concept of growth, reproduction, and life cycle using examples like humans and butterflies."
2,Life Cycles,4.1.1,Life Cycle of a Butterfly,Learn the stages of a butterfly’s life cycle.,- Stages: Egg → Larva → Pupa → Adult.,Class Activity,"- Show a video or pictures of the butterfly life cycle.
- Class Activity: Sequence the stages of the butterfly life cycle using picture cards."
3,Life Cycles,4.1.1,Life Cycle of a Frog,Understand the stages of a frog’s life cycle.,- Stages: Egg → Tadpole → Tadpole with legs → Froglet → Adult Frog.,Experiment,"- Observe tadpoles in a small water tank (if possible, maintain ethical considerations)."
4,Life Cycles,4.1.1,Life Cycles of Other Animals,Learn about life cycles of other animal groups.,"- Examples: Mammals (e.g., humans), birds (e.g., chickens), insects (e.g., grasshoppers).",Class Activity,"- Compare and contrast the life cycles of mammals, birds, and insects using a table."
5,Life Cycles,4.1.1,Recap of Animal Life Cycles,Review the stages of life cycles for different animal groups.,- Focus on unique features of different animal life cycles.,Class Activity,- Play a quiz game where students match animals to their life cycle stages.
6,Life Cycles,4.1.2,Introduction to Plant Life Cycles,Understand the stages of a plant’s life cycle.,- Stages: Seed → Germination → Seedling → Mature Plant → Flowering/Fruiting.,Experiment,"- Plant seeds (e.g., mung beans) in small pots to observe the germination process over time."
7,Life Cycles,4.1.2,Germination and Growth,Learn about germination and early plant growth.,"- Conditions for germination: Water, air, and warmth.",Teacher Demonstration,- Compare germination in seeds placed in sunlight versus a dark place
8,Life Cycles,4.1.2,Flowering and Fruiting,Understand the role of flowers and fruits in a plant’s life cycle.,"- Pollination and seed formation.
- Importance of fruits in seed dispersal.",Class Activity,- Identify parts of a flower and discuss their roles in reproduction.
9,Life Cycles,4.1.2,Comparison of Plant and Animal Life Cycles,Compare life cycles of plants and animals.,"- Similarities: Both involve stages of growth and reproduction.
- Differences: Processes like germination and metamorphosis.",Class Activity,- Create a Venn diagram comparing plant and animal life cycles.
10,Life Cycles,4.1.2,Recap of Life Cycles,Consolidate understanding of life cycles in plants and animals.,- Summary of key concepts and examples.,Class Activity,- Group discussion to clarify doubts and share observations from experiments.
11,Life Cycles,ASS41,Intermediate Test and Consolidation,Assess understanding of Units 6 and 7.,- Discuss the test and address any lingering questions.,Assessment,- Conduct Intermediate Test covering Units 6 and 7.
12,,,,,,,
13,,,,,,,
14,Matter and Its Three States,4.2,Introduction to Matter,Understand what matter is.,"- Matter is anything that has mass and occupies space.
- Examples of matter in daily life (e.g., air, water, table).",Class Activity,"- Students list and classify objects in the classroom as matter or not matter (e.g., air, light)."
15,Matter and Its Three States,4.2,"States of Matter - Solids, Liquids, and Gases",Identify the three states of matter and their properties.,"- Solids: Definite shape and volume.
- Liquids: Definite volume, no definite shape.
- Gases: No definite shape or volume.",Teacher Demonstration,"- Show examples of each state (e.g., ice, water, air)."
16,Matter and Its Three States,4.2,Properties of Solids,Explore the characteristics of solids.,"- Solids have a definite shape and volume.
- Particles in solids are closely packed.",Experiment,"- Test the shape and volume of solids using classroom objects (e.g., blocks, books) ."
17,Matter and Its Three States,4.2,Properties of Liquids,Learn about the properties of liquids.,"- Liquids take the shape of their container.
- Liquids flow and have a definite volume.",Teacher Demonstration,- Pour water into containers of different shapes and observe.
18,Matter and Its Three States,4.2,Properties of Gases,Understand the properties of gases.,"- Gases spread to fill their container.
- Gases can be compressed.",Experiment,- Inflate a balloon to demonstrate gas expansion and compression.
19,Matter and Its Three States,4.2,Measuring Mass,Learn how to measure the mass of matter.,"- Tools for measuring mass (e.g., balance scale).
- Units: grams (g), kilograms (kg).",Class Activity,- Use a balance scale to compare the mass of different classroom objects.
20,Matter and Its Three States,4.2,Measuring Volume of Liquids,Learn how to measure the volume of liquids.,"- Tools for measuring volume (e.g., measuring cylinder).
- Units: milliliters (mL), liters (L).",Experiment,- Measure the volume of water using a measuring cylinder.
21,Matter and Its Three States,4.2,Measuring Volume of Irregular Solids,Learn how to measure the volume of irregular solids using water,"- Principle of water displacement.
- Steps to measure the volume of irregular solids.",Experiment,- Measure the volume of a small rock using a water-filled measuring cylinder.
22,Matter and Its Three States,4.2,Recap of Matter and Its Three States,"Consolidate understanding of matter, its states, and properties.",- Summary of the three states of matter and measuring techniques.,Class Activity,"- Play a sorting game where students classify items as solid, liquid, or gas and state their properties."
23,Matter and Its Three States,4.2,Importance of Measuring Mass and Volume,Understand the practical applications of measuring mass and volume.,"- Examples: Cooking, transporting goods, filling liquids.",Class Activity,- Brainstorm examples of situations where mass and volume measurements are important.
24,Matter and Its Three States,ASS42,Intermediate Test and Consolidation,Assess understanding of Unit 8.,- Group discussion to clarify doubts after the test.,Assessment,- Conduct Intermediate Test covering Unit 8.
25,,,,,,,
26,,,,,,,
27,Light and Shadows,4.3,Introduction to Light,Understand the importance of light and why we need it.,"- Light helps us see objects and our surroundings.
- Role of light in daily life (e.g., safety, growth of plants).",Class Activity,"- Brainstorm examples of situations where light is essential (e.g., daytime activities, traffic lights)."
28,Light and Shadows,4.3,Sources of Light,Identify different sources of light.,"- Natural sources: Sun, stars, fireflies.
- Artificial sources: Light bulbs, candles, flashlights.",Teacher Demonstration,- Display examples of natural and artificial light sources using pictures or actual objects.
29,Light and Shadows,4.3,How We See Objects,Understand how light enables us to see objects.,"- Light travels in straight lines.
- Reflection of light into our eyes allows us to see.",Experiment,- Use a flashlight and a mirror to demonstrate how light reflects into our eyes.
