Week Number,Topic,Code,Lesson Title,Objective,Content,Type of Activity,Activities
1,Forces,6.1.1,Introduction to Forces,Understand what a force is and its effects.,"- Force: A push or pull.
- Effects: Change in motion, shape, and direction.",Experiment,"- Brainstorm examples of forces in everyday life (e.g., pushing a door, kicking a ball).
- Use a rubber band to show how a force changes the shape of an object."
2,Forces,6.1.1,Types of Forces – Frictional Force,Explore friction and its effects.,"- Friction: A force that opposes motion.
- Examples: Walking, braking, and rubbing objects.",Experiment,- Compare the movement of a toy car on smooth and rough surfaces to observe friction.
3,Forces,6.1.1,Types of Forces – Elastic Spring Force,Understand elastic spring force and its uses.,"- Elastic spring force: A force exerted by a stretched or compressed spring.
- Examples: Trampolines, rubber bands, and shock absorbers.",Experiment,- Stretch a spring and measure the force needed to stretch it to different lengths using a spring scale.
4,Forces,6.1.1,Types of Forces – Gravitational Force,Learn about gravity and its effects.,"- Gravitational force: A force that pulls objects toward the center of the Earth.
- Examples: Falling objects, planets orbiting the sun.",Class Activity,- Drop objects of different masses and observe that gravity acts on all objects equally.
5,Forces,6.1.1,Types of Forces – Magnetic Force,Explore magnetic force and its applications.,"- Magnetic force: A force exerted by magnets.
- Examples: Attracting iron, repelling similar poles, magnetic compasses.",Experiment,- Use a bar magnet to observe attraction and repulsion between poles and attraction to various materials.
6,Forces,6.1.1,Recap of Forces and Their Applications,Review the different types of forces and their effects.,"- Summary of frictional, elastic spring, gravitational, and magnetic forces.
- Real-life applications of forces.",Class Activity,- Play a matching game where students match examples to the types of forces.
7,Forces,ASS61,Intermediate Assessment and Consolidation,Assess understanding of Unit 16 and clarify doubts.,- Group discussion to address common misconceptions and questions.,Assessment,- Conduct Intermediate Assessment covering Unit 16.
8,Living Together and Man's Impact on His Environment,6.1.2,Introduction to Organisms and Their Environment,"Define organisms, populations, and habitats, and understand how they are connected.","- Organisms: Any living thing.
- Population: Group of the same organisms in a habitat.
- Habitat: The natural home of organisms.",Class Activity,"- Discuss examples of organisms, populations, and habitats in local environments (e.g., park, pond)."
9,Living Together and Man's Impact on His Environment,6.1.2,Communities in Different Habitats,Understand communities and the diversity of habitats.,"- Community: Different populations living together in a habitat.
- Examples of habitats: Forests, ponds, deserts, oceans.",Teacher Demonstration,- Show a video or pictures of various habitats and their communities.
10,Living Together and Man's Impact on His Environment,6.1.2,Factors Affecting Survival in an Environment,Learn how environmental factors impact the survival of living things.,"- Factors: Temperature, light, water, food, predators.
- Adaptations for survival.",Experiment,"- Simulate predator-prey interactions using a simple game (e.g., bean predators and seed prey)."
11,Living Together and Man's Impact on His Environment,6.1.5,Man’s Interaction with His Environment,Explore how humans interact with and utilize the environment.,"- Positive interactions: Planting trees, conserving water.
- Negative interactions: Pollution, deforestation, overfishing.",Class Activity,"- Brainstorm examples of human activities that affect the environment, both positively and negatively."
12,,,,,,,
13,,,,,,,
14,Living Together and Man's Impact on His Environment,6.1.5,Negative Impact of Human Activities,Understand the negative effects of human activities on the environment.,"- Examples: Air pollution, water pollution, habitat destruction, climate change.",Experiment,- Observe the effect of “pollution” in water by mixing food coloring and oil into clear water and discuss its impact.
15,Living Together and Man's Impact on His Environment,6.1.5,Positive Actions to Protect the Environment,Learn how humans can positively impact the environment.,"- Examples: Recycling, reducing waste, reforestation, energy conservation.",Class Activity,- Group brainstorming on practical ways students can contribute to environmental protection.
16,Living Together and Man's Impact on His Environment,6.1.5,Recap of Living Together,"Review concepts related to organisms, populations, habitats, and communities.","- Key definitions and examples.
- Relationships among living things and their environment.",Class Activity,- Create a chart or diagram summarizing key concepts about living together.
17,Living Together and Man's Impact on His Environment,6.1.5,Recap of Man’s Impact on the Environment,Reinforce understanding of human interactions with the environment.,"- Positive and negative impacts of human activities.
- Strategies for environmental sustainability.",Class Activity,- Role-play activity where students act as environmental advocates presenting solutions to an issue.
18,Living Together and Man's Impact on His Environment,ASS62,Intermediate Assessment and Consolidation,Assess understanding of Units 18 and 21.,- Discuss assessment results and clarify doubts.,Assessment,- Conduct Intermediate Assessment covering Units 18 and 21.
19,Adaptations,6.1.4,Introduction to Adaptations,Understand what adaptations are and the difference between structural and behavioral adaptations.,"- Adaptations: Features or behaviors that help organisms survive in their environment.
- Structural adaptations: Physical features (e.g., fur, beaks).
- Behavioral adaptations: Actions (e.g., migration, nocturnality).",Class Activity,- Brainstorm examples of structural and behavioral adaptations in animals and plants.
20,Adaptations,6.1.4,Adaptations for Coping with Extreme Temperatures and Breathing Underwater,Learn about adaptations for extreme environments and underwater living.,"- Extreme temperatures: Thick fur, fat layers (polar bears, camels).
- Breathing underwater: Gills in fish, blowholes in whales.",Experiment,"- Compare the insulating effect of ""fat"" using a bag filled with oil and water in cold water."
